iter	Passed	Remaining
947	4975	272
948	4982	267
949	4988	262
950	4995	257
951	5003	252
952	5008	247
953	5013	241
954	5020	236
955	5028	231
956	5031	226
957	5034	220
958	5040	215
959	5044	210
960	5050	204
961	5056	199
962	5062	194
963	5065	189
964	5069	183
965	5072	178
966	5078	173
967	5083	168
968	5089	162
969	5096	157
970	5103	152
971	5111	147
972	5119	142
973	5125	136
974	5128	131
975	5132	126
976	5135	120
977	5140	115
978	5143	110
979	5146	105
980	5152	99
981	5158	94
982	5166	89
983	5174	84
984	5181	78
985	5186	73
986	5190	68
987	5195	63
988	5202	57
989	5205	52
990	5209	47
991	5215	42
992	5222	36
993	5226	31
994	5230	26
995	5233	21
996	5238	15
997	5244	10
998	5248	5
999	5255	0
